person_id,face_path,eye_path,skin_path,mouth_path,profile_path,dominant_dosha,secondary_dosha,confidence,dosha_label,face_shape,jawline_type,cheek_fullness,forehead_type,eye_size,eye_shape,eye_redness,dark_circles,lip_fullness,lip_moisture,teeth_alignment,skin_texture,skin_oiliness,acne_presence,redness_presence,nose_shape,chin_shape,jaw_definition,vata_score,pitta_score,kapha_score,notes
1,data/dosha/kapha/1/face.jpg,data/dosha/kapha/1/eye.jpg,data/dosha/kapha/1/skin.jpg,data/dosha/kapha/1/mouth.jpg,data/dosha/kapha/1/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
2,data/dosha/pitta/2/face.jpg,data/dosha/pitta/2/eye.jpg,data/dosha/pitta/2/skin.jpg,data/dosha/pitta/2/mouth.jpg,data/dosha/pitta/2/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
3,data/dosha/kapha/3/face.jpg,data/dosha/kapha/3/eye.jpg,data/dosha/kapha/3/skin.jpg,data/dosha/kapha/3/mouth.jpg,data/dosha/kapha/3/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
4,data/dosha/kapha/4/face.jpg,data/dosha/kapha/4/eye.jpg,data/dosha/kapha/4/skin.jpg,data/dosha/kapha/4/mouth.jpg,data/dosha/kapha/4/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
5,data/dosha/vata/5/face.jpg,data/dosha/vata/5/eye.jpg,data/dosha/vata/5/skin.jpg,data/dosha/vata/5/mouth.jpg,data/dosha/vata/5/profile.jpg,vata,pitta,0.82,vata_pitta,long_slender,narrow,low,narrow,small_medium,irregular,mild,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,mild,narrow,pointed,light,0.5,0.4,0.1,auto_annotated_from_vata_pitta_pattern
6,data/dosha/vata/6/face.jpg,data/dosha/vata/6/eye.jpg,data/dosha/vata/6/skin.jpg,data/dosha/vata/6/mouth.jpg,data/dosha/vata/6/profile.jpg,vata,pitta,0.82,vata_pitta,long_slender,narrow,low,narrow,small_medium,irregular,mild,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,mild,narrow,pointed,light,0.5,0.4,0.1,auto_annotated_from_vata_pitta_pattern
7,data/dosha/kapha/7/face.jpg,data/dosha/kapha/7/eye.jpg,data/dosha/kapha/7/skin.jpg,data/dosha/kapha/7/mouth.jpg,data/dosha/kapha/7/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
8,data/dosha/vata/8/face.jpg,data/dosha/vata/8/eye.jpg,data/dosha/vata/8/skin.jpg,data/dosha/vata/8/mouth.jpg,data/dosha/vata/8/profile.jpg,vata,kapha,0.82,vata_kapha,long_slender,narrow,low,narrow,small_medium,irregular,none,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,no,narrow,pointed,light,0.5,0.1,0.4,auto_annotated_from_vata_kapha_pattern
9,data/dosha/pitta/9/face.jpg,data/dosha/pitta/9/eye.jpg,data/dosha/pitta/9/skin.jpg,data/dosha/pitta/9/mouth.jpg,data/dosha/pitta/9/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
10,data/dosha/kapha/10/face.jpg,data/dosha/kapha/10/eye.jpg,data/dosha/kapha/10/skin.jpg,data/dosha/kapha/10/mouth.jpg,data/dosha/kapha/10/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
11,data/dosha/kapha/11/face.jpg,data/dosha/kapha/11/eye.jpg,data/dosha/kapha/11/skin.jpg,data/dosha/kapha/11/mouth.jpg,data/dosha/kapha/11/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
12,data/dosha/vata/12/face.jpg,data/dosha/vata/12/eye.jpg,data/dosha/vata/12/skin.jpg,data/dosha/vata/12/mouth.jpg,data/dosha/vata/12/profile.jpg,vata,pitta,0.82,vata_pitta,long_slender,narrow,low,narrow,small_medium,irregular,mild,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,mild,narrow,pointed,light,0.5,0.4,0.1,auto_annotated_from_vata_pitta_pattern
13,data/dosha/kapha/13/face.jpg,data/dosha/kapha/13/eye.jpg,data/dosha/kapha/13/skin.jpg,data/dosha/kapha/13/mouth.jpg,data/dosha/kapha/13/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
14,data/dosha/pitta/14/face.jpg,data/dosha/pitta/14/eye.jpg,data/dosha/pitta/14/skin.jpg,data/dosha/pitta/14/mouth.jpg,data/dosha/pitta/14/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
15,data/dosha/kapha/15/face.jpg,data/dosha/kapha/15/eye.jpg,data/dosha/kapha/15/skin.jpg,data/dosha/kapha/15/mouth.jpg,data/dosha/kapha/15/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
16,data/dosha/kapha/16/face.jpg,data/dosha/kapha/16/eye.jpg,data/dosha/kapha/16/skin.jpg,data/dosha/kapha/16/mouth.jpg,data/dosha/kapha/16/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
17,data/dosha/pitta/17/face.jpg,data/dosha/pitta/17/eye.jpg,data/dosha/pitta/17/skin.jpg,data/dosha/pitta/17/mouth.jpg,data/dosha/pitta/17/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
18,data/dosha/pitta/18/face.jpg,data/dosha/pitta/18/eye.jpg,data/dosha/pitta/18/skin.jpg,data/dosha/pitta/18/mouth.jpg,data/dosha/pitta/18/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
19,data/dosha/vata/19/face.jpg,data/dosha/vata/19/eye.jpg,data/dosha/vata/19/skin.jpg,data/dosha/vata/19/mouth.jpg,data/dosha/vata/19/profile.jpg,vata,pitta,0.82,vata_pitta,long_slender,narrow,low,narrow,small_medium,irregular,mild,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,mild,narrow,pointed,light,0.5,0.4,0.1,auto_annotated_from_vata_pitta_pattern
20,data/dosha/pitta/20/face.jpg,data/dosha/pitta/20/eye.jpg,data/dosha/pitta/20/skin.jpg,data/dosha/pitta/20/mouth.jpg,data/dosha/pitta/20/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
21,data/dosha/kapha/21/face.jpg,data/dosha/kapha/21/eye.jpg,data/dosha/kapha/21/skin.jpg,data/dosha/kapha/21/mouth.jpg,data/dosha/kapha/21/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
22,data/dosha/pitta/22/face.jpg,data/dosha/pitta/22/eye.jpg,data/dosha/pitta/22/skin.jpg,data/dosha/pitta/22/mouth.jpg,data/dosha/pitta/22/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
23,data/dosha/kapha/23/face.jpg,data/dosha/kapha/23/eye.jpg,data/dosha/kapha/23/skin.jpg,data/dosha/kapha/23/mouth.jpg,data/dosha/kapha/23/profile.jpg,kapha,kapha,0.82,kapha_kapha,round_oval,soft,full,broad,large,almond_soft,none,none,full,moist,even,smooth_thick,moderate_oily,no,no,smooth_round,rounded,soft,0.1,0.1,0.8,auto_annotated_from_kapha_kapha_pattern
24,data/dosha/pitta/24/face.jpg,data/dosha/pitta/24/eye.jpg,data/dosha/pitta/24/skin.jpg,data/dosha/pitta/24/mouth.jpg,data/dosha/pitta/24/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
25,data/dosha/kapha/25/face.jpg,data/dosha/kapha/25/eye.jpg,data/dosha/kapha/25/skin.jpg,data/dosha/kapha/25/mouth.jpg,data/dosha/kapha/25/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
26,data/dosha/kapha/26/face.jpg,data/dosha/kapha/26/eye.jpg,data/dosha/kapha/26/skin.jpg,data/dosha/kapha/26/mouth.jpg,data/dosha/kapha/26/profile.jpg,kapha,vata,0.82,kapha_vata,round_oval,soft,full,broad,large,almond_soft,none,mild,full,moist,even,smooth_thick,moderate_oily,no,no,smooth_round,rounded,soft,0.4,0.1,0.5,auto_annotated_from_kapha_vata_pattern
27,data/dosha/pitta/27/face.jpg,data/dosha/pitta/27/eye.jpg,data/dosha/pitta/27/skin.jpg,data/dosha/pitta/27/mouth.jpg,data/dosha/pitta/27/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
28,data/dosha/pitta/28/face.jpg,data/dosha/pitta/28/eye.jpg,data/dosha/pitta/28/skin.jpg,data/dosha/pitta/28/mouth.jpg,data/dosha/pitta/28/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
29,data/dosha/kapha/29/face.jpg,data/dosha/kapha/29/eye.jpg,data/dosha/kapha/29/skin.jpg,data/dosha/kapha/29/mouth.jpg,data/dosha/kapha/29/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
30,data/dosha/kapha/30/face.jpg,data/dosha/kapha/30/eye.jpg,data/dosha/kapha/30/skin.jpg,data/dosha/kapha/30/mouth.jpg,data/dosha/kapha/30/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
31,data/dosha/vata/31/face.jpg,data/dosha/vata/31/eye.jpg,data/dosha/vata/31/skin.jpg,data/dosha/vata/31/mouth.jpg,data/dosha/vata/31/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
32,data/dosha/vata/32/face.jpg,data/dosha/vata/32/eye.jpg,data/dosha/vata/32/skin.jpg,data/dosha/vata/32/mouth.jpg,data/dosha/vata/32/profile.jpg,vata,pitta,0.82,vata_pitta,long_slender,narrow,low,narrow,small_medium,irregular,mild,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,mild,narrow,pointed,light,0.5,0.4,0.1,auto_annotated_from_vata_pitta_pattern
33,data/dosha/pitta/33/face.jpg,data/dosha/pitta/33/eye.jpg,data/dosha/pitta/33/skin.jpg,data/dosha/pitta/33/mouth.jpg,data/dosha/pitta/33/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
34,data/dosha/pitta/34/face.jpg,data/dosha/pitta/34/eye.jpg,data/dosha/pitta/34/skin.jpg,data/dosha/pitta/34/mouth.jpg,data/dosha/pitta/34/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
35,data/dosha/pitta/35/face.jpg,data/dosha/pitta/35/eye.jpg,data/dosha/pitta/35/skin.jpg,data/dosha/pitta/35/mouth.jpg,data/dosha/pitta/35/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
36,data/dosha/pitta/36/face.jpg,data/dosha/pitta/36/eye.jpg,data/dosha/pitta/36/skin.jpg,data/dosha/pitta/36/mouth.jpg,data/dosha/pitta/36/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
37,data/dosha/pitta/37/face.jpg,data/dosha/pitta/37/eye.jpg,data/dosha/pitta/37/skin.jpg,data/dosha/pitta/37/mouth.jpg,data/dosha/pitta/37/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
38,data/dosha/pitta/38/face.jpg,data/dosha/pitta/38/eye.jpg,data/dosha/pitta/38/skin.jpg,data/dosha/pitta/38/mouth.jpg,data/dosha/pitta/38/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
39,data/dosha/pitta/39/face.jpg,data/dosha/pitta/39/eye.jpg,data/dosha/pitta/39/skin.jpg,data/dosha/pitta/39/mouth.jpg,data/dosha/pitta/39/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
40,data/dosha/pitta/40/face.jpg,data/dosha/pitta/40/eye.jpg,data/dosha/pitta/40/skin.jpg,data/dosha/pitta/40/mouth.jpg,data/dosha/pitta/40/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
41,data/dosha/pitta/41/face.jpg,data/dosha/pitta/41/eye.jpg,data/dosha/pitta/41/skin.jpg,data/dosha/pitta/41/mouth.jpg,data/dosha/pitta/41/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
42,data/dosha/pitta/42/face.jpg,data/dosha/pitta/42/eye.jpg,data/dosha/pitta/42/skin.jpg,data/dosha/pitta/42/mouth.jpg,data/dosha/pitta/42/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
43,data/dosha/pitta/43/face.jpg,data/dosha/pitta/43/eye.jpg,data/dosha/pitta/43/skin.jpg,data/dosha/pitta/43/mouth.jpg,data/dosha/pitta/43/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
44,data/dosha/pitta/44/face.jpg,data/dosha/pitta/44/eye.jpg,data/dosha/pitta/44/skin.jpg,data/dosha/pitta/44/mouth.jpg,data/dosha/pitta/44/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
45,data/dosha/kapha/45/face.jpg,data/dosha/kapha/45/eye.jpg,data/dosha/kapha/45/skin.jpg,data/dosha/kapha/45/mouth.jpg,data/dosha/kapha/45/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
46,data/dosha/kapha/46/face.jpg,data/dosha/kapha/46/eye.jpg,data/dosha/kapha/46/skin.jpg,data/dosha/kapha/46/mouth.jpg,data/dosha/kapha/46/profile.jpg,kapha,kapha,0.82,kapha_kapha,round_oval,soft,full,broad,large,almond_soft,none,none,full,moist,even,smooth_thick,moderate_oily,no,no,smooth_round,rounded,soft,0.1,0.1,0.8,auto_annotated_from_kapha_kapha_pattern
47,data/dosha/pitta/47/face.jpg,data/dosha/pitta/47/eye.jpg,data/dosha/pitta/47/skin.jpg,data/dosha/pitta/47/mouth.jpg,data/dosha/pitta/47/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
48,data/dosha/vata/48/face.jpg,data/dosha/vata/48/eye.jpg,data/dosha/vata/48/skin.jpg,data/dosha/vata/48/mouth.jpg,data/dosha/vata/48/profile.jpg,vata,vata,0.82,vata_vata,long_slender,narrow,low,narrow,small_medium,irregular,none,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,no,narrow,pointed,light,0.8,0.1,0.1,auto_annotated_from_vata_vata_pattern
49,data/dosha/pitta/49/face.jpg,data/dosha/pitta/49/eye.jpg,data/dosha/pitta/49/skin.jpg,data/dosha/pitta/49/mouth.jpg,data/dosha/pitta/49/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
50,data/dosha/vata/50/face.jpg,data/dosha/vata/50/eye.jpg,data/dosha/vata/50/skin.jpg,data/dosha/vata/50/mouth.jpg,data/dosha/vata/50/profile.jpg,vata,pitta,0.82,vata_pitta,long_slender,narrow,low,narrow,small_medium,irregular,mild,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,mild,narrow,pointed,light,0.5,0.4,0.1,auto_annotated_from_vata_pitta_pattern
51,data/dosha/kapha/51/face.jpg,data/dosha/kapha/51/eye.jpg,data/dosha/kapha/51/skin.jpg,data/dosha/kapha/51/mouth.jpg,data/dosha/kapha/51/profile.jpg,kapha,kapha,0.82,kapha_kapha,round_oval,soft,full,broad,large,almond_soft,none,none,full,moist,even,smooth_thick,moderate_oily,no,no,smooth_round,rounded,soft,0.1,0.1,0.8,auto_annotated_from_kapha_kapha_pattern
52,data/dosha/pitta/52/face.jpg,data/dosha/pitta/52/eye.jpg,data/dosha/pitta/52/skin.jpg,data/dosha/pitta/52/mouth.jpg,data/dosha/pitta/52/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
53,data/dosha/kapha/53/face.jpg,data/dosha/kapha/53/eye.jpg,data/dosha/kapha/53/skin.jpg,data/dosha/kapha/53/mouth.jpg,data/dosha/kapha/53/profile.jpg,kapha,kapha,0.82,kapha_kapha,round_oval,soft,full,broad,large,almond_soft,none,none,full,moist,even,smooth_thick,moderate_oily,no,no,smooth_round,rounded,soft,0.1,0.1,0.8,auto_annotated_from_kapha_kapha_pattern
54,data/dosha/kapha/54/face.jpg,data/dosha/kapha/54/eye.jpg,data/dosha/kapha/54/skin.jpg,data/dosha/kapha/54/mouth.jpg,data/dosha/kapha/54/profile.jpg,kapha,pitta,0.82,kapha_pitta,round_oval,soft,full,broad,large,almond_soft,mild,none,full,moist,even,smooth_thick,moderate_oily,no,mild,smooth_round,rounded,soft,0.1,0.4,0.5,auto_annotated_from_kapha_pitta_pattern
55,data/dosha/pitta/55/face.jpg,data/dosha/pitta/55/eye.jpg,data/dosha/pitta/55/skin.jpg,data/dosha/pitta/55/mouth.jpg,data/dosha/pitta/55/profile.jpg,pitta,pitta,0.82,pitta_pitta,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.8,0.1,auto_annotated_from_pitta_pitta_pattern
56,data/dosha/pitta/56/face.jpg,data/dosha/pitta/56/eye.jpg,data/dosha/pitta/56/skin.jpg,data/dosha/pitta/56/mouth.jpg,data/dosha/pitta/56/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
57,data/dosha/pitta/57/face.jpg,data/dosha/pitta/57/eye.jpg,data/dosha/pitta/57/skin.jpg,data/dosha/pitta/57/mouth.jpg,data/dosha/pitta/57/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
58,data/dosha/vata/58/face.jpg,data/dosha/vata/58/eye.jpg,data/dosha/vata/58/skin.jpg,data/dosha/vata/58/mouth.jpg,data/dosha/vata/58/profile.jpg,vata,pitta,0.82,vata_pitta,long_slender,narrow,low,narrow,small_medium,irregular,mild,mild,thin_medium,tend_dry,slightly_irregular,dry_fine,dry,no,mild,narrow,pointed,light,0.5,0.4,0.1,auto_annotated_from_vata_pitta_pattern
59,data/dosha/pitta/59/face.jpg,data/dosha/pitta/59/eye.jpg,data/dosha/pitta/59/skin.jpg,data/dosha/pitta/59/mouth.jpg,data/dosha/pitta/59/profile.jpg,pitta,kapha,0.82,pitta_kapha,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,none,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.1,0.5,0.4,auto_annotated_from_pitta_kapha_pattern
60,data/dosha/pitta/60/face.jpg,data/dosha/pitta/60/eye.jpg,data/dosha/pitta/60/skin.jpg,data/dosha/pitta/60/mouth.jpg,data/dosha/pitta/60/profile.jpg,pitta,vata,0.82,pitta_vata,oval_rectangular,angular,medium,medium_broad,medium,sharp_almond,mild,mild,medium,normal,sharp_even,smooth,normal,possible,mild,straight_sharp,medium,defined,0.4,0.5,0.1,auto_annotated_from_pitta_vata_pattern
